Name;Type;Literature;Genes;;
Weller_Mouse_Protein_stem_cells_540;Glio;;ENSMUSG00000000420,ENSMUSG00000028249,ENSMUSG00000025068,ENSMUSG00000094483,ENSMUSG00000028049,ENSMUSG00000052456,ENSMUSG00000004070,ENSMUSG00000027195,ENSMUSG00000031012,ENSMUSG00000027099,ENSMUSG00000030894,ENSMUSG00000031167,ENSMUSG00000021707,ENSMUSG00000073411,ENSMUSG00000025190,ENSMUSG00000021477,ENSMUSG00000021477,ENSMUSG00000029368,ENSMUSG00000025823,ENSMUSG00000031503,ENSMUSG00000022982,ENSMUSG00000006818,ENSMUSG00000022884,ENSMUSG00000038387,ENSMUSG00000001506,ENSMUSG00000026193,ENSMUSG00000063856,ENSMUSG00000052776,ENSMUSG00000021576,ENSMUSG00000026576,ENSMUSG00000046364,ENSMUSG00000057036,ENSMUSG00000036181,ENSMUSG00000057666,ENSMUSG00000057666,ENSMUSG00000057666,ENSMUSG00000037012,ENSMUSG00000007891,ENSMUSG00000023175,ENSMUSG00000070436,ENSMUSG00000024997,ENSMUSG00000030605,ENSMUSG00000027187,ENSMUSG00000068739,ENSMUSG00000027248,ENSMUSG00000031375,ENSMUSG00000025232,ENSMUSG00000043733,ENSMUSG00000030630,ENSMUSG00000005514,ENSMUSG00000064080,ENSMUSG00000028656,ENSMUSG00000043991,ENSMUSG00000062929,ENSMUSG00000028199,ENSMUSG00000019102,ENSMUSG00000028745,ENSMUSG00000029614,ENSMUSG00000006134,ENSMUSG00000031633,ENSMUSG00000079477,ENSMUSG00000079477,ENSMUSG00000047215,ENSMUSG00000004897,ENSMUSG00000020407,ENSMUSG00000017264,ENSMUSG00000029616,ENSMUSG00000054808,ENSMUSG00000032366,ENSMUSG00000060904,ENSMUSG00000058355,ENSMUSG00000051391,ENSMUSG00000090862,ENSMUSG00000096010,ENSMUSG00000096010,ENSMUSG00000096010,ENSMUSG00000096010,ENSMUSG00000091405,ENSMUSG00000091405,ENSMUSG00000091405,ENSMUSG00000091405,ENSMUSG00000067455,ENSMUSG00000067455,ENSMUSG00000067455,ENSMUSG00000067455,ENSMUSG00000064288,ENSMUSG00000064288,ENSMUSG00000064288,ENSMUSG00000064288,ENSMUSG00000069306,ENSMUSG00000069306,ENSMUSG00000069306,ENSMUSG00000069306,ENSMUSG00000069305,ENSMUSG00000069305,ENSMUSG00000069305,ENSMUSG00000069305,ENSMUSG00000060639,ENSMUSG00000060639,ENSMUSG00000060639,ENSMUSG00000060639,ENSMUSG00000060981,ENSMUSG00000060981,ENSMUSG00000060981,ENSMUSG00000060981,ENSMUSG00000069274,ENSMUSG00000069274,ENSMUSG00000069274,ENSMUSG00000069274,ENSMUSG00000061482,ENSMUSG00000061482,ENSMUSG00000061482,ENSMUSG00000061482,ENSMUSG00000060678,ENSMUSG00000060678,ENSMUSG00000060678,ENSMUSG00000060678,ENSMUSG00000069266,ENSMUSG00000069266,ENSMUSG00000069266,ENSMUSG00000069266,ENSMUSG00000060093,ENSMUSG00000060093,ENSMUSG00000060093,ENSMUSG00000060093,ENSMUSG00000073702,ENSMUSG00000018293,ENSMUSG00000022858,ENSMUSG00000061787,ENSMUSG00000052146,ENSMUSG00000005034,ENSMUSG00000076432,ENSMUSG00000043091,ENSMUSG00000042644,ENSMUSG00000030987,ENSMUSG00000030403,ENSMUSG00000031628,ENSMUSG00000031590,ENSMUSG00000029121,ENSMUSG00000029994,ENSMUSG00000022098,ENSMUSG00000001525,ENSMUSG00000024066,ENSMUSG00000029661,ENSMUSG00000029545,ENSMUSG00000051855,ENSMUSG00000006369,ENSMUSG00000029598,ENSMUSG00000021608,ENSMUSG00000026956,ENSMUSG00000060038,ENSMUSG00000033706,ENSMUSG00000009647,ENSMUSG00000054469,ENSMUSG00000027068,ENSMUSG00000033581,ENSMUSG00000054079,ENSMUSG00000020402,ENSMUSG00000028108,ENSMUSG00000020900,ENSMUSG00000024501,ENSMUSG00000027506,ENSMUSG00000005054,ENSMUSG00000026827,ENSMUSG00000003849,ENSMUSG00000057335,ENSMUSG00000048578,ENSMUSG00000027893,ENSMUSG00000025278,ENSMUSG00000070934,ENSMUSG00000034707,ENSMUSG00000031483,ENSMUSG00000017428,ENSMUSG00000052798,ENSMUSG00000025465,ENSMUSG00000028382,ENSMUSG00000031328,ENSMUSG00000033793,ENSMUSG00000030718,ENSMUSG00000038172,ENSMUSG00000001467,ENSMUSG00000001467,ENSMUSG00000022789,ENSMUSG00000036777,ENSMUSG00000032047,ENSMUSG00000028671,ENSMUSG00000020097,ENSMUSG00000021831,ENSMUSG00000034371,ENSMUSG00000028614,ENSMUSG00000028179,ENSMUSG00000031903,ENSMUSG00000025212,ENSMUSG00000038650,ENSMUSG00000030086,ENSMUSG00000020333,ENSMUSG00000030272,ENSMUSG00000017999,ENSMUSG00000026520,ENSMUSG00000071655,ENSMUSG00000040466,ENSMUSG00000025503,ENSMUSG00000028455,ENSMUSG00000028776,ENSMUSG00000063410,ENSMUSG00000004460,ENSMUSG00000002332,ENSMUSG00000029776,ENSMUSG00000032314,ENSMUSG00000028953,ENSMUSG00000029198,ENSMUSG00000029446,ENSMUSG00000004069,ENSMUSG00000029814,ENSMUSG00000030842,ENSMUSG00000028223,ENSMUSG00000031827,ENSMUSG00000030105,ENSMUSG00000029440,ENSMUSG00000014606,ENSMUSG00000053768,ENSMUSG00000025742,ENSMUSG00000033166,ENSMUSG00000018322,ENSMUSG00000028998,ENSMUSG00000070493,ENSMUSG00000001774,ENSMUSG00000004789,ENSMUSG00000039637,ENSMUSG00000031432,ENSMUSG00000031432,ENSMUSG00000033096,ENSMUSG00000022575,ENSMUSG00000030314,ENSMUSG00000027199,ENSMUSG00000026456,ENSMUSG00000030884,ENSMUSG00000021484,ENSMUSG00000004610,ENSMUSG00000030681,ENSMUSG00000025220,ENSMUSG00000010755,ENSMUSG00000038503,ENSMUSG00000037072,ENSMUSG00000029916,ENSMUSG00000026958,ENSMUSG00000058056,ENSMUSG00000027714,ENSMUSG00000022751,ENSMUSG00000046949,ENSMUSG00000004451,ENSMUSG00000030536,ENSMUSG00000020250,ENSMUSG00000021226,ENSMUSG00000062078,ENSMUSG00000062078,ENSMUSG00000055401,ENSMUSG00000004105,ENSMUSG00000020777,ENSMUSG00000031422,ENSMUSG00000005803,ENSMUSG00000024308,ENSMUSG00000024782,ENSMUSG00000016256,ENSMUSG00000024044,ENSMUSG00000024044,ENSMUSG00000021079,ENSMUSG00000019433,ENSMUSG00000021242,ENSMUSG00000024812,ENSMUSG00000022295;;
Weller_Mouse_Protein_stem_cells_560;Glio;;ENSMUSG00000037475,ENSMUSG00000036112,ENSMUSG00000025068,ENSMUSG00000024942,ENSMUSG00000019428,ENSMUSG00000029484,ENSMUSG00000020142,ENSMUSG00000029201,ENSMUSG00000032418,ENSMUSG00000022982,ENSMUSG00000066632,ENSMUSG00000062070,ENSMUSG00000024661,ENSMUSG00000024659,ENSMUSG00000026193,ENSMUSG00000052776,ENSMUSG00000018340,ENSMUSG00000028645,ENSMUSG00000037820,ENSMUSG00000030934,ENSMUSG00000024538,ENSMUSG00000054717,ENSMUSG00000046223,ENSMUSG00000031299,ENSMUSG00000005514,ENSMUSG00000001435,ENSMUSG00000029992,ENSMUSG00000028063,ENSMUSG00000024960,ENSMUSG00000028755,ENSMUSG00000023495,ENSMUSG00000068221,ENSMUSG00000020671,ENSMUSG00000096010,ENSMUSG00000096010,ENSMUSG00000096010,ENSMUSG00000096010,ENSMUSG00000091405,ENSMUSG00000091405,ENSMUSG00000091405,ENSMUSG00000091405,ENSMUSG00000067455,ENSMUSG00000067455,ENSMUSG00000067455,ENSMUSG00000067455,ENSMUSG00000064288,ENSMUSG00000064288,ENSMUSG00000064288,ENSMUSG00000064288,ENSMUSG00000069306,ENSMUSG00000069306,ENSMUSG00000069306,ENSMUSG00000069306,ENSMUSG00000069305,ENSMUSG00000069305,ENSMUSG00000069305,ENSMUSG00000069305,ENSMUSG00000060639,ENSMUSG00000060639,ENSMUSG00000060639,ENSMUSG00000060639,ENSMUSG00000060981,ENSMUSG00000060981,ENSMUSG00000060981,ENSMUSG00000060981,ENSMUSG00000069274,ENSMUSG00000069274,ENSMUSG00000069274,ENSMUSG00000069274,ENSMUSG00000061482,ENSMUSG00000061482,ENSMUSG00000061482,ENSMUSG00000061482,ENSMUSG00000060678,ENSMUSG00000060678,ENSMUSG00000060678,ENSMUSG00000060678,ENSMUSG00000069266,ENSMUSG00000069266,ENSMUSG00000069266,ENSMUSG00000069266,ENSMUSG00000060093,ENSMUSG00000060093,ENSMUSG00000060093,ENSMUSG00000060093,ENSMUSG00000061787,ENSMUSG00000069312,ENSMUSG00000069312,ENSMUSG00000075032,ENSMUSG00000075032,ENSMUSG00000062417,ENSMUSG00000062417,ENSMUSG00000069265,ENSMUSG00000069265,ENSMUSG00000030077,ENSMUSG00000028633,ENSMUSG00000086784,ENSMUSG00000026421,ENSMUSG00000079197,ENSMUSG00000078153,ENSMUSG00000029121,ENSMUSG00000001270,ENSMUSG00000032487,ENSMUSG00000027533,ENSMUSG00000051855,ENSMUSG00000033880,ENSMUSG00000054027,ENSMUSG00000046879,ENSMUSG00000046879,ENSMUSG00000026980,ENSMUSG00000032332,ENSMUSG00000060147,ENSMUSG00000060147,ENSMUSG00000028032,ENSMUSG00000028268,ENSMUSG00000028268,ENSMUSG00000005161,ENSMUSG00000027984,ENSMUSG00000030220,ENSMUSG00000029145,ENSMUSG00000029759,ENSMUSG00000024501,ENSMUSG00000032078,ENSMUSG00000032078,ENSMUSG00000020476,ENSMUSG00000034993,ENSMUSG00000001507,ENSMUSG00000034459,ENSMUSG00000035692,ENSMUSG00000074896,ENSMUSG00000073676,ENSMUSG00000048612,ENSMUSG00000044857,ENSMUSG00000025369,ENSMUSG00000040296,ENSMUSG00000036940,ENSMUSG00000025525,ENSMUSG00000058672,ENSMUSG00000058672,ENSMUSG00000021910,ENSMUSG00000046598,ENSMUSG00000033306,ENSMUSG00000025465,ENSMUSG00000022801,ENSMUSG00000038172,ENSMUSG00000020256,ENSMUSG00000032788,ENSMUSG00000020464,ENSMUSG00000033128,ENSMUSG00000032135,ENSMUSG00000035199,ENSMUSG00000020260,ENSMUSG00000068699,ENSMUSG00000032911,ENSMUSG00000051359,ENSMUSG00000025533,ENSMUSG00000028378,ENSMUSG00000001891,ENSMUSG00000023150,ENSMUSG00000040466,ENSMUSG00000027603,ENSMUSG00000028776,ENSMUSG00000030282,ENSMUSG00000020572,ENSMUSG00000021149,ENSMUSG00000049401,ENSMUSG00000025132,ENSMUSG00000029814,ENSMUSG00000028223,ENSMUSG00000021807,ENSMUSG00000028568,ENSMUSG00000027131,ENSMUSG00000070493,ENSMUSG00000029482,ENSMUSG00000032030,ENSMUSG00000003955,ENSMUSG00000010358,ENSMUSG00000053644,ENSMUSG00000024197,ENSMUSG00000001576,ENSMUSG00000028961,ENSMUSG00000026848,ENSMUSG00000062380,ENSMUSG00000023022,ENSMUSG00000019139,ENSMUSG00000022751,ENSMUSG00000022265,ENSMUSG00000022265,ENSMUSG00000027797,ENSMUSG00000030847,ENSMUSG00000055401,ENSMUSG00000005803,ENSMUSG00000024308,ENSMUSG00000017774,ENSMUSG00000029686,ENSMUSG00000021196,ENSMUSG00000052738,ENSMUSG00000027864,ENSMUSG00000026547,ENSMUSG00000024812,ENSMUSG00000029781,ENSMUSG00000039194;;
Weller_Mouse_Protein_stem_cells_ALL;Glio;;ENSMUSG00000006373,ENSMUSG00000027099,ENSMUSG00000030695,ENSMUSG00000021477,ENSMUSG00000021477,ENSMUSG00000031503,ENSMUSG00000006818,ENSMUSG00000001506,ENSMUSG00000026576,ENSMUSG00000028048,ENSMUSG00000024538,ENSMUSG00000064080,ENSMUSG00000043991,ENSMUSG00000027907,ENSMUSG00000032366,ENSMUSG00000020671,ENSMUSG00000060904,ENSMUSG00000051391,ENSMUSG00000020849,ENSMUSG00000096010,ENSMUSG00000096010,ENSMUSG00000096010,ENSMUSG00000096010,ENSMUSG00000091405,ENSMUSG00000091405,ENSMUSG00000091405,ENSMUSG00000091405,ENSMUSG00000067455,ENSMUSG00000067455,ENSMUSG00000067455,ENSMUSG00000067455,ENSMUSG00000064288,ENSMUSG00000064288,ENSMUSG00000064288,ENSMUSG00000064288,ENSMUSG00000069306,ENSMUSG00000069306,ENSMUSG00000069306,ENSMUSG00000069306,ENSMUSG00000069305,ENSMUSG00000069305,ENSMUSG00000069305,ENSMUSG00000069305,ENSMUSG00000060639,ENSMUSG00000060639,ENSMUSG00000060639,ENSMUSG00000060639,ENSMUSG00000060981,ENSMUSG00000060981,ENSMUSG00000060981,ENSMUSG00000060981,ENSMUSG00000069274,ENSMUSG00000069274,ENSMUSG00000069274,ENSMUSG00000069274,ENSMUSG00000061482,ENSMUSG00000061482,ENSMUSG00000061482,ENSMUSG00000061482,ENSMUSG00000060678,ENSMUSG00000060678,ENSMUSG00000060678,ENSMUSG00000060678,ENSMUSG00000069266,ENSMUSG00000069266,ENSMUSG00000069266,ENSMUSG00000069266,ENSMUSG00000060093,ENSMUSG00000060093,ENSMUSG00000060093,ENSMUSG00000060093,ENSMUSG00000061787,ENSMUSG00000028161,ENSMUSG00000005034,ENSMUSG00000076432,ENSMUSG00000069312,ENSMUSG00000069312,ENSMUSG00000075032,ENSMUSG00000075032,ENSMUSG00000062417,ENSMUSG00000062417,ENSMUSG00000069265,ENSMUSG00000069265,ENSMUSG00000031590,ENSMUSG00000022098,ENSMUSG00000024066,ENSMUSG00000030824,ENSMUSG00000032487,ENSMUSG00000006369,ENSMUSG00000025421,ENSMUSG00000046879,ENSMUSG00000046879,ENSMUSG00000034993,ENSMUSG00000003849,ENSMUSG00000027893,ENSMUSG00000033306,ENSMUSG00000025465,ENSMUSG00000033793,ENSMUSG00000028385,ENSMUSG00000032788,ENSMUSG00000026159,ENSMUSG00000020840,ENSMUSG00000021831,ENSMUSG00000025545,ENSMUSG00000028179,ENSMUSG00000001228,ENSMUSG00000027770,ENSMUSG00000022136,ENSMUSG00000001891,ENSMUSG00000030282,ENSMUSG00000002332,ENSMUSG00000029198,ENSMUSG00000038717,ENSMUSG00000067719,ENSMUSG00000019868,ENSMUSG00000021427,ENSMUSG00000018322,ENSMUSG00000019082,ENSMUSG00000030861,ENSMUSG00000010755,ENSMUSG00000038503,ENSMUSG00000037072,ENSMUSG00000070697,ENSMUSG00000037722,ENSMUSG00000026535,ENSMUSG00000020777,ENSMUSG00000026817,ENSMUSG00000031841,ENSMUSG00000021196,ENSMUSG00000021242,ENSMUSG00000027030;;
Vishal_subnetwork signature of survival in GBM;Glio;http://www.ncbi.nlm.nih.gov/pubmed/24068912;ENSG00000267807,ENSG00000184009,ENSG00000116584,ENSG00000113916,ENSG00000127022,ENSG00000164305,ENSG00000213341,ENSG00000137975,ENSG00000167193,ENSG00000118523,ENSG00000168036,ENSG00000108654,ENSG00000263077,ENSG00000106976,ENSG00000121570,ENSG00000100393,ENSG00000187266,ENSG00000122176,ENSG00000148180,ENSG00000137947,ENSG00000113013,ENSG00000140443,ENSG00000070061,LRG_251,ENSG00000104365,ENSG00000091409,ENSG00000123384,ENSG00000169032,ENSG00000100030,ENSG00000132382,ENSG00000061676,ENSG00000124151,ENSG00000149269,ENSG00000100029,ENSG00000173889,ENSG00000124181,ENSG00000184486,ENSG00000163558,ENSG00000108344,ENSG00000163636,ENSG00000131467,ENSG00000089159,ENSG00000174444,ENSG00000168610,ENSG00000008056,ENSG00000136560,ENSG00000112592,ENSG00000119699,ENSG00000106799,ENSG00000198900,ENSG00000175104,ENSG00000187555,ENSG00000134308;;
;;;;;
NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_DN;GSEA C2;http://www.broadinstitute.org/gsea/msigdb/cards/NAKAMURA_TUMOR_ZONE_PERIPHERAL_VS_CENTRAL_DN.html;ENSG00000254882,ENSG00000137642,ENSG00000110013,ENSG00000137699,ENSG00000151694,ENSG00000134317,ENSG00000172059,ENSG00000162981,ENSG00000228736,ENSG00000206208,ENSG00000237825,ENSG00000206282,ENSG00000224841,ENSG00000014216,ENSG00000111912,ENSG00000105852;;
PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP;GSEA C2;http://www.broadinstitute.org/gsea/msigdb/cards/PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP.html;ENSG00000154096,ENSG00000146374,ENSG00000091986,ENSG00000177409,ENSG00000104067,ENSG00000165895,ENSG00000142156,ENSG00000152661,ENSG00000231543,ENSG00000109861,ENSG00000206372,ENSG00000235017,ENSG00000149591,ENSG00000164692,ENSG00000122786,ENSG00000166068;;
PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_DN;GSEA C2;http://www.broadinstitute.org/gsea/msigdb/cards/PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_DN.html;ENSG00000115738,ENSG00000112406,ENSG00000142178,ENSG00000225553,ENSG00000117868,ENSG00000160588,ENSG00000118503,ENSG00000095574,ENSG00000112365,ENSG00000143507,ENSG00000163041,ENSG00000168264,ENSG00000162852,ENSG00000142867,ENSG00000123505,ENSG00000090104;;
LU_TUMOR_VASCULATURE_UP;GSEA C2;http://www.broadinstitute.org/gsea/msigdb/cards/LU_TUMOR_VASCULATURE_UP.html;ENSG00000043462,ENSG00000187608,ENSG00000148848,ENSG00000116455,ENSG00000173110,ENSG00000142534,ENSG00000100985,ENSG00000170293,ENSG00000080573,ENSG00000101825,ENSG00000161381,ENSG00000133110,ENSG00000159167,ENSG00000171476,ENSG00000118785,ENSG00000146072;;
LU_TUMOR_VASCULATURE_DN;GSEA C2;http://www.broadinstitute.org/gsea/msigdb/cards/LU_TUMOR_VASCULATURE_DN.html;ENSG00000196208,ENSG00000198523,ENSG00000007908,ENSG00000078596,ENSG00000157502,ENSG00000182836,ENSG00000154175,ENSG00000005249,ENSG00000004848,ENSG00000069535,ENSG00000048740,ENSG00000106809,ENSG00000171004;;
KORKOLA_EMBRYONAL_CARCINOMA_UP;GSEA C2;http://www.broadinstitute.org/gsea/msigdb/cards/KORKOLA_EMBRYONAL_CARCINOMA_UP.html;ENSG00000111186,ENSG00000197905,ENSG00000118971,ENSG00000111247,ENSG00000162433,ENSG00000139180,ENSG00000010278,ENSG00000067182,ENSG00000111640,ENSG00000111641,ENSG00000111669,ENSG00000111671,ENSG00000111674,ENSG00000111678,ENSG00000111679,ENSG00000215021;;
KORKOLA_EMBRYONAL_CARCINOMA_DN;GSEA C2;http://www.broadinstitute.org/gsea/msigdb/cards/KORKOLA_EMBRYONAL_CARCINOMA_DN.html;ENSG00000111254,ENSG00000111644,ENSG00000010626,ENSG00000256660,ENSG00000111305,ENSG00000171681,ENSG00000246705,ENSG00000139151,ENSG00000177938,ENSG00000134532,ENSG00000118307,ENSG00000123094;;
KORKOLA_TERATOMA_UP;GSEA C2;http://www.broadinstitute.org/gsea/msigdb/cards/KORKOLA_TERATOMA_UP.html;ENSG00000111203,ENSG00000118971,ENSG00000067182,ENSG00000139192,ENSG00000159335,ENSG00000111678,ENSG00000215021,ENSG00000059804,ENSG00000175899,ENSG00000110852,ENSG00000172243,ENSG00000139083,ENSG00000134531,ENSG00000111341,ENSG00000111348,ENSG00000004700;;
KORKOLA_TERATOMA_DN;GSEA C2;http://www.broadinstitute.org/gsea/msigdb/cards/KORKOLA_TERATOMA_DN.html;ENSG00000111254,ENSG00000111644,ENSG00000256660,ENSG00000111305,ENSG00000171681,ENSG00000246705,ENSG00000139151,ENSG00000177938,ENSG00000134532,ENSG00000118307,ENSG00000123094;;
KORKOLA_YOLK_SAC_TUMOR_UP;GSEA C2;http://www.broadinstitute.org/gsea/msigdb/cards/KORKOLA_YOLK_SAC_TUMOR_UP.html;ENSG00000197905,ENSG00000118971,ENSG00000111640,ENSG00000159335,ENSG00000111669,ENSG00000111679,ENSG00000215021,ENSG00000111684,ENSG00000139182,ENSG00000059804,ENSG00000111196,ENSG00000070018,ENSG00000213782,ENSG00000023697,ENSG00000004700,ENSG00000111716;;
KORKOLA_YOLK_SAC_TUMOR_DN;GSEA C2;http://www.broadinstitute.org/gsea/msigdb/cards/KORKOLA_YOLK_SAC_TUMOR_DN.html;ENSG00000111254,ENSG00000111644,ENSG00000010626,ENSG00000256660,ENSG00000060138,ENSG00000111305,ENSG00000171681,ENSG00000246705,ENSG00000139151,ENSG00000177938,ENSG00000134532,ENSG00000118307,ENSG00000123094;;
KORKOLA_CHORIOCARCINOMA_UP;GSEA C2;http://www.broadinstitute.org/gsea/msigdb/cards/KORKOLA_CHORIOCARCINOMA_UP.html;ENSG00000010278,ENSG00000111640,ENSG00000111669,ENSG00000215021,ENSG00000059804,ENSG00000121316;;
KORKOLA_CHORIOCARCINOMA_DN;GSEA C2;http://www.broadinstitute.org/gsea/msigdb/cards/KORKOLA_CHORIOCARCINOMA_DN.html;ENSG00000111254,ENSG00000111644,ENSG00000010626,ENSG00000256660,ENSG00000111305,ENSG00000246705,ENSG00000139151,ENSG00000177938,ENSG00000134532,ENSG00000118307,ENSG00000123094;;
KORKOLA_SEMINOMA_UP;GSEA C2;http://www.broadinstitute.org/gsea/msigdb/cards/KORKOLA_SEMINOMA_UP.html;ENSG00000082805,ENSG00000111203,ENSG00000078246,ENSG00000197905,ENSG00000011105,ENSG00000118971,ENSG00000078237,ENSG00000047621,ENSG00000162433,ENSG00000139180,ENSG00000010278,ENSG00000139193,ENSG00000139190,ENSG00000111640,ENSG00000111641,ENSG00000111652;;
KORKOLA_SEMINOMA_DN;GSEA C2;http://www.broadinstitute.org/gsea/msigdb/cards/KORKOLA_SEMINOMA_DN.html;ENSG00000111644,ENSG00000010626,ENSG00000256660,ENSG00000111305,ENSG00000171681,ENSG00000246705,ENSG00000139151,ENSG00000177938,ENSG00000134532,ENSG00000118307,ENSG00000123094;;
WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_UP;GSEA C2;http://www.broadinstitute.org/gsea/msigdb/cards/WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_UP.html;ENSG00000249398,ENSG00000064601,ENSG00000231543,ENSG00000206372,ENSG00000235017,ENSG00000227572,ENSG00000179889,ENSG00000019144,ENSG00000196187,ENSG00000117528,ENSG00000117620,ENSG00000156508,ENSG00000168374,ENSG00000031698,ENSG00000116473,ENSG00000133063;;
WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_DN;GSEA C2;http://www.broadinstitute.org/gsea/msigdb/cards/WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_DN.html;ENSG00000105829,ENSG00000164692,ENSG00000106333,ENSG00000084207,ENSG00000231179,ENSG00000082701,ENSG00000159842,ENSG00000188157,ENSG00000070444,ENSG00000142507,ENSG00000164163,ENSG00000213341,ENSG00000143420,ENSG00000112855,ENSG00000092445,ENSG00000088247;;
HOLLMAN_APOPTOSIS_VIA_CD40_UP;GSEA C2;http://www.broadinstitute.org/gsea/msigdb/cards/HOLLMAN_APOPTOSIS_VIA_CD40_UP.html;ENSG00000154146,ENSG00000168090,ENSG00000242265,ENSG00000135074,ENSG00000175110,ENSG00000034693,ENSG00000127980,ENSG00000160967,ENSG00000198055,ENSG00000120451,ENSG00000149218,ENSG00000079819,ENSG00000106484,ENSG00000134153,ENSG00000130429,ENSG00000112339;;
HOLLMAN_APOPTOSIS_VIA_CD40_DN;GSEA C2;http://www.broadinstitute.org/gsea/msigdb/cards/HOLLMAN_APOPTOSIS_VIA_CD40_DN.html;ENSG00000115738,ENSG00000169016,ENSG00000228582,ENSG00000235715,ENSG00000243067,ENSG00000105854,ENSG00000168734,ENSG00000163902,ENSG00000100219,ENSG00000169925,ENSG00000107651,ENSG00000072858,ENSG00000151929,ENSG00000127022,ENSG00000105939,ENSG00000151500;;
LIU_PROSTATE_CANCER_UP;GSEA C2;http://www.broadinstitute.org/gsea/msigdb/cards/LIU_PROSTATE_CANCER_UP.html;ENSG00000211689,ENSG00000158528,ENSG00000149418,ENSG00000173638,ENSG00000228628,ENSG00000144867,ENSG00000168468,ENSG00000234539,ENSG00000107938,ENSG00000181218,ENSG00000167861,ENSG00000173457,ENSG00000157613,ENSG00000065485,ENSG00000184924,ENSG00000171302;;
LIU_PROSTATE_CANCER_DN;GSEA C2;http://www.broadinstitute.org/gsea/msigdb/cards/LIU_PROSTATE_CANCER_DN.html;ENSG00000076706,ENSG00000137699,ENSG00000134317,ENSG00000172059,ENSG00000205795,ENSG00000174807,ENSG00000127990,ENSG00000112319,ENSG00000100154,ENSG00000149021,ENSG00000135333,ENSG00000004799,ENSG00000124233,ENSG00000093144,ENSG00000124157,ENSG00000101443;;
LIU_SOX4_TARGETS_UP;GSEA C2;http://www.broadinstitute.org/gsea/msigdb/cards/LIU_SOX4_TARGETS_UP.html;ENSG00000137642,ENSG00000236761,ENSG00000149557,ENSG00000160967,ENSG00000130508,ENSG00000150687,ENSG00000114796,ENSG00000172331,ENSG00000228628,ENSG00000137801,ENSG00000163785,ENSG00000100227,ENSG00000168468,ENSG00000234539,ENSG00000137845,ENSG00000256941;;
LIU_SOX4_TARGETS_DN;GSEA C2;http://www.broadinstitute.org/gsea/msigdb/cards/LIU_SOX4_TARGETS_DN.html;ENSG00000109971,ENSG00000119185,ENSG00000183495,ENSG00000176915,ENSG00000072609,ENSG00000183765,ENSG00000107581,ENSG00000163902,ENSG00000014123,ENSG00000165672,ENSG00000162337,ENSG00000100330,ENSG00000169220,ENSG00000084234,ENSG00000197226,ENSG00000120451;;
ONKEN_UVEAL_MELANOMA_UP;GSEA C2;http://www.broadinstitute.org/gsea/msigdb/cards/ONKEN_UVEAL_MELANOMA_UP.html;ENSG00000137642,ENSG00000188486,ENSG00000182551,ENSG00000151692,ENSG00000151693,ENSG00000151694,ENSG00000196208,ENSG00000198040,ENSG00000229685,ENSG00000237710,ENSG00000243067,ENSG00000206291,ENSG00000224103,ENSG00000206208,ENSG00000138246,ENSG00000100154;;
ONKEN_UVEAL_MELANOMA_DN;GSEA C2;http://www.broadinstitute.org/gsea/msigdb/cards/ONKEN_UVEAL_MELANOMA_DN.html;ENSG00000110002,ENSG00000076706,ENSG00000115738,ENSG00000172059,ENSG00000134324,ENSG00000232357,ENSG00000225312,ENSG00000112474,ENSG00000228712,ENSG00000160862,ENSG00000073111,ENSG00000242265,ENSG00000091972,ENSG00000075785,ENSG00000124145,ENSG00000144848;;
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP;GSEA C2;http://www.broadinstitute.org/gsea/msigdb/cards/BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP.html;ENSG00000177192,ENSG00000235715,ENSG00000243067,ENSG00000232367,ENSG00000197771,ENSG00000107651,ENSG00000151923,ENSG00000160200,ENSG00000239836,ENSG00000226173,ENSG00000239457,ENSG00000231631,ENSG00000107672,ENSG00000113643,ENSG00000163389,ENSG00000241910;;
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN;GSEA C2;http://www.broadinstitute.org/gsea/msigdb/cards/BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN.html;ENSG00000149548,ENSG00000134313,ENSG00000143797,ENSG00000163032,ENSG00000197594,ENSG00000100154,ENSG00000124942,ENSG00000144857,ENSG00000124104,ENSG00000149218,ENSG00000196569,ENSG00000073921,ENSG00000106477,ENSG00000166997,ENSG00000149591,ENSG00000122786;;
